                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.4814,                0.80614,                 1.1558,                0.54038,                0.13978,                0.16026,                 0.0656,                 2.9603,                  4.838,                 2.8505,             0.00083053,             0.00083053,             0.00083053
                     53,                 1.4828,                0.79232,                 1.1692,                 0.5308,                0.10753,                0.13355,                0.06357,                 2.8483,                 5.4318,                 2.6461,             0.00082503,             0.00082503,             0.00082503
                     54,                 1.4616,                 0.8037,                 1.1623,                0.49844,                0.15054,                0.11895,                0.04645,                 2.9203,                 4.9452,                 2.9794,             0.00081953,             0.00081953,             0.00081953
                     55,                 1.4775,                0.79628,                 1.1589,                0.52615,                0.14264,                0.14008,                0.06582,                 2.8498,                 5.4051,                 2.9341,             0.00081403,             0.00081403,             0.00081403
                     56,                 1.4573,                0.78085,                 1.1624,                0.55031,                0.12545,                0.14101,                 0.0631,                  2.705,                 4.9493,                 2.7205,             0.00080853,             0.00080853,             0.00080853
                     57,                 1.4711,                0.77818,                 1.1561,                 0.5408,                0.14181,                0.13438,                0.04873,                 2.9946,                 5.0522,                 3.1198,             0.00080303,             0.00080303,             0.00080303
                     58,                 1.4462,                0.78194,                  1.152,                0.51511,                0.14337,                0.11645,                0.04634,                 2.7983,                  5.375,                  2.787,             0.00079753,             0.00079753,             0.00079753
                     59,                 1.4499,                0.75898,                 1.1492,                0.55628,                0.14695,                0.16269,                0.06962,                 2.8055,                 4.6954,                 2.8474,             0.00079203,             0.00079203,             0.00079203
                     60,                 1.4421,                0.76051,                 1.1361,                0.49127,                0.15492,                0.12867,                0.04945,                 2.9858,                  4.678,                 3.0029,             0.00078653,             0.00078653,             0.00078653
                     61,                 1.4184,                0.75867,                 1.1378,                0.52056,                0.12903,                0.13353,                0.05723,                 2.7269,                 5.3938,                 2.5683,             0.00078103,             0.00078103,             0.00078103
                     62,                 1.4349,                0.76972,                 1.1454,                0.52822,                0.14695,                0.13167,                0.05615,                 2.8611,                 5.0068,                 3.0167,             0.00077553,             0.00077553,             0.00077553
                     63,                 1.4153,                0.74176,                 1.1279,                0.51157,                0.13181,                0.11922,                0.04777,                 3.0007,                 5.1904,                 3.0727,             0.00077003,             0.00077003,             0.00077003
                     64,                 1.4173,                0.74425,                 1.1342,                0.51441,                0.14695,                0.11568,                0.05255,                 2.8595,                 5.3649,                 2.6463,             0.00076453,             0.00076453,             0.00076453
                     65,                  1.419,                0.74953,                 1.1464,                0.89158,                0.12186,                0.12675,                0.05355,                 2.8109,                 5.4799,                 2.7795,             0.00075904,             0.00075904,             0.00075904
                     66,                 1.3963,                0.73755,                 1.1397,                0.51273,                0.13978,                0.12779,                0.05473,                 2.8647,                 5.0777,                 2.9224,             0.00075354,             0.00075354,             0.00075354
                     67,                 1.4064,                0.73745,                 1.1433,                0.50254,                0.12903,                0.13043,                0.05664,                 2.8953,                 5.4191,                 2.8199,             0.00074804,             0.00074804,             0.00074804
                     68,                 1.3869,                0.73345,                 1.1311,                0.56357,                0.12903,                0.15413,                0.07468,                 2.8277,                 5.5026,                 2.7962,             0.00074254,             0.00074254,             0.00074254
                     69,                 1.4015,                 0.7362,                 1.1387,                0.62627,                0.12903,                  0.159,                0.07395,                 2.9116,                 4.9426,                 3.0484,             0.00073704,             0.00073704,             0.00073704
                     70,                 1.3877,                0.73066,                 1.1165,                0.52351,                0.14285,                0.12758,                 0.0555,                 2.7722,                 5.1071,                 2.9332,             0.00073154,             0.00073154,             0.00073154
                     71,                 1.3803,                0.72266,                 1.1214,                0.52094,                0.14305,                0.12135,                0.05288,                 2.9764,                 5.3863,                 3.0398,             0.00072604,             0.00072604,             0.00072604
                     72,                 1.4031,                0.74217,                 1.1191,                 0.5027,                0.14337,                0.10456,                0.04318,                 2.9857,                 5.1845,                 3.0608,             0.00072054,             0.00072054,             0.00072054
                     73,                 1.3841,                0.70749,                 1.1194,                0.52102,                 0.1362,                0.11334,                0.04922,                 3.0378,                 6.0439,                 2.9599,             0.00071504,             0.00071504,             0.00071504
                     74,                 1.3826,                0.72464,                  1.113,                0.52656,                 0.1362,                0.12053,                0.05792,                 2.8725,                 5.1654,                 2.9558,             0.00070954,             0.00070954,             0.00070954
                     75,                  1.345,                0.69248,                 1.1023,                0.54169,                0.12903,                 0.1345,                0.06457,                  2.783,                 5.5627,                 2.5871,             0.00070404,             0.00070404,             0.00070404
                     76,                 1.3526,                0.70086,                 1.1208,                0.52268,                0.15084,                0.15352,                0.06878,                  2.992,                 5.0751,                 3.0311,             0.00069854,             0.00069854,             0.00069854
                     77,                 1.3864,                0.70423,                 1.1245,                0.52356,                0.15412,                 0.1678,                0.07372,                 2.8078,                 5.2432,                 2.8851,             0.00069304,             0.00069304,             0.00069304
                     78,                 1.3513,                0.69782,                 1.1133,                0.51165,                0.15054,                0.13794,                0.05914,                 2.8126,                  5.702,                 2.8258,             0.00068754,             0.00068754,             0.00068754
                     79,                 1.3696,                0.69834,                 1.1211,                 0.5132,                 0.1362,                0.12402,                0.05563,                 2.8378,                 5.6361,                 2.7929,             0.00068204,             0.00068204,             0.00068204
                     80,                 1.3406,                0.69895,                 1.1119,                0.51237,                0.14695,                0.14845,                0.06117,                 2.8705,                 5.2323,                 2.9418,             0.00067654,             0.00067654,             0.00067654
                     81,                 1.3446,                0.69618,                 1.1116,                0.51736,                0.14695,                0.12447,                0.05118,                 2.8692,                 5.4358,                  2.921,             0.00067104,             0.00067104,             0.00067104
                     82,                 1.3535,                0.70095,                  1.113,                0.52839,                0.13262,                0.13773,                   0.06,                 2.9369,                 5.3085,                 2.9247,             0.00066554,             0.00066554,             0.00066554
                     83,                 1.3373,                 0.6889,                 1.1004,                0.52398,                0.14337,                 0.1487,                0.06514,                 2.8437,                 4.9841,                 2.9793,             0.00066005,             0.00066005,             0.00066005
                     84,                 1.3413,                0.68625,                 1.1046,                0.53007,                0.15771,                0.15204,                0.05613,                 2.9821,                 5.0045,                 3.3615,             0.00065455,             0.00065455,             0.00065455
                     85,                 1.3201,                0.69125,                 1.1021,                  0.509,                0.15054,                0.12433,                0.05187,                 2.9425,                 5.4607,                 2.9949,             0.00064905,             0.00064905,             0.00064905
                     86,                 1.3356,                0.67228,                 1.1052,                0.52399,                0.15054,                0.12836,                0.05409,                 2.8127,                 5.0879,                 2.9615,             0.00064355,             0.00064355,             0.00064355
                     87,                 1.3473,                0.67999,                 1.1053,                 0.5256,                0.14695,                0.14137,                 0.0572,                 2.9093,                 5.3036,                 3.1044,             0.00063805,             0.00063805,             0.00063805
                     88,                 1.3285,                  0.677,                  1.101,                0.54988,                0.13978,                0.15567,                0.06981,                 2.8868,                  5.381,                  2.943,             0.00063255,             0.00063255,             0.00063255
                     89,                 1.3106,                0.67225,                 1.0962,                0.52483,                0.15054,                0.11864,                0.05357,                 2.8132,                 5.3155,                 2.9267,             0.00062705,             0.00062705,             0.00062705
                     90,                 1.3276,                0.67053,                 1.0922,                0.51947,                0.14695,                0.23951,                0.07865,                 2.7069,                   5.27,                 2.8942,             0.00062155,             0.00062155,             0.00062155
                     91,                 1.2967,                  0.657,                 1.0971,                0.52459,                0.15054,                0.13109,                0.05679,                 2.9186,                 5.1739,                 3.0664,             0.00061605,             0.00061605,             0.00061605
                     92,                 1.3067,                  0.658,                 1.0877,                0.53228,                0.15054,                0.15446,                0.06724,                 2.9317,                 5.0332,                 3.0533,             0.00061055,             0.00061055,             0.00061055
                     93,                  1.307,                0.66616,                 1.0823,                0.52194,                0.15054,                0.20326,                0.08961,                 2.9396,                 5.4946,                 3.0414,             0.00060505,             0.00060505,             0.00060505
                     94,                 1.2889,                 0.6611,                 1.0868,                0.18925,                0.14695,                0.14739,                0.06432,                 2.9057,                 5.3641,                 2.9877,             0.00059955,             0.00059955,             0.00059955
                     95,                 1.3044,                0.66118,                 1.0943,                0.52981,                0.14695,                0.17235,                0.07689,                 2.8073,                 5.0118,                 2.9878,             0.00059405,             0.00059405,             0.00059405
                     96,                 1.2953,                0.65664,                 1.0743,                0.52797,                0.14695,                0.15095,                0.06436,                 2.7463,                  5.325,                 3.0746,             0.00058855,             0.00058855,             0.00058855
                     97,                 1.2951,                0.65727,                 1.0821,                0.51931,                0.15054,                0.14713,                0.06187,                 2.8532,                 5.3934,                 3.0029,             0.00058305,             0.00058305,             0.00058305
                     98,                 1.2866,                0.65862,                 1.0842,                0.52397,                0.15054,                0.18445,                0.08467,                  2.918,                 5.0893,                 3.0631,             0.00057755,             0.00057755,             0.00057755
                     99,                 1.2874,                0.65181,                  1.082,                0.52746,                0.14337,                0.13898,                0.05513,                 2.8607,                 5.2899,                 3.1496,             0.00057205,             0.00057205,             0.00057205
                    100,                 1.3056,                0.65268,                  1.079,                0.59707,                0.12545,                0.15439,                0.06419,                 2.8934,                 5.3526,                 3.1155,             0.00056655,             0.00056655,             0.00056655
                    101,                  1.285,                0.64345,                 1.0823,                0.52448,                0.14337,                0.14383,                0.06331,                 2.8098,                 5.2799,                 3.0955,             0.00056105,             0.00056105,             0.00056105
                    102,                 1.2773,                0.64137,                 1.0756,                0.53288,                0.15054,                0.14745,                  0.062,                 2.9215,                 5.2062,                 3.0663,             0.00055556,             0.00055556,             0.00055556
                    103,                 1.2817,                0.63908,                  1.082,                0.49643,                0.14695,                 0.2044,                0.10381,                 2.8043,                 5.4748,                 2.9444,             0.00055006,             0.00055006,             0.00055006
                    104,                 1.2561,                0.63216,                 1.0723,                0.55653,                0.13262,                0.13828,                0.05725,                 2.8209,                 5.2587,                 3.1867,             0.00054456,             0.00054456,             0.00054456
                    105,                 1.2425,                0.62978,                 1.0613,                0.52241,                0.14337,                0.15347,                0.06332,                 2.8268,                 5.7639,                 3.0366,             0.00053906,             0.00053906,             0.00053906
                    106,                 1.2536,                0.62625,                 1.0574,                0.91299,                0.12545,                0.16612,                0.07134,                 2.7898,                 4.9514,                 3.1572,             0.00053356,             0.00053356,             0.00053356
                    107,                 1.2489,                0.62744,                 1.0671,                0.51056,                0.14337,                0.13164,                0.06047,                 2.8404,                 5.2208,                  3.204,             0.00052806,             0.00052806,             0.00052806
                    108,                 1.2634,                0.64196,                 1.0628,                0.53942,                0.14695,                0.20523,                0.09241,                 2.8831,                 5.0649,                 3.0403,             0.00052256,             0.00052256,             0.00052256
